Date,Subscribers,Views,Videos,Playlists
2025-08-11 13:24:30,2220,176635,494,37
2025-08-11 13:27:12,2220,176635,494,37
2025-09-27 09:55:17,2340,190388,516,39
2025-09-27 10:01:04,2340,190388,516,39
2025-09-28 01:42:23,2350,190605,516,39
2025-09-29 01:37:26,2350,190723,517,39
2025-09-30 01:26:42,2360,191022,518,39
2025-10-01 01:44:18,2360,191372,520,39
2025-10-02 01:25:21,2370,191867,520,39
2025-10-03 01:25:12,2370,192346,520,39
2025-10-04 01:22:54,2380,192854,520,39
2025-10-05 01:41:44,2380,193563,521,39
2025-10-06 01:27:38,2380,194047,522,39
2025-10-07 01:26:02,2390,194463,523,39
